rec_id,unit_cu
771649204,RECL-TRIPSAVER-100-80T-15KV-1P-C
768536157,RECL-TRIPSAVER-100-80T-15KV-1P-C
657510632,RECL-TRIPSAVER-100-80T-15KV-1P-C
657772704,RECL-TRIPSAVER-100-80T-15KV-1P-C
654096990,RECL-TRIPSAVER-100-80T-15KV-1P-C
655367854,RECL-TRIPSAVER-100-80T-15KV-1P-C
656025516,RECL-TRIPSAVER-100-80T-15KV-1P-C
654071679,RECL-TRIPSAVER-100-80T-15KV-1P-C
658442999,RECL-TRIPSAVER-100-80T-15KV-1P-C
652938016,RECL-TRIPSAVER-100-80T-29KV-1P-C
652491743,RECL-TRIPSAVER-100-80T-15KV-1P-C
657459701,RECL-TRIPSAVER-100-80T-15KV-1P-C
652453234,RECL-TRIPSAVER-200-150E-15KV-1P-C
654913157,RECL-TRIPSAVER-100-80T-29KV-1P-C
654913164,RECL-TRIPSAVER-100-80T-29KV-1P-C
671890768,RECL-TRIPSAVER-100-80T-15KV-1P-C
676614170,RECL-TRIPSAVER-100-80T-29KV-1P-C
668906475,RECL-TRIPSAVER-100-80T-15KV-1P-C
669692249,RECL-TRIPSAVER-100-80T-15KV-1P-C
671246768,RECL-TRIPSAVER-100-80T-29KV-1P-C
677361370,RECL-TRIPSAVER-100-80T-15KV-1P-C
682681603,RECL-TRIPSAVER-100-80T-15KV-1P-C
678469245,RECL-TRIPSAVER-100-80T-29KV-1P-C
683664922,RECL-TRIPSAVER-200-100T-15KV-1P-C
678009763,RECL-TRIPSAVER-200-100T-29KV-1P-C
670856200,RECL-TRIPSAVER-100-80T-15KV-1P-C
679087586,RECL-TRIPSAVER-100-80T-29KV-1P-C
678405009,RECL-TRIPSAVER-100-80T-15KV-1P-C
669121586,RECL-TRIPSAVER-200-100T-15KV-1P-C
679096316,RECL-TRIPSAVER-100-80T-29KV-1P-C
673977812,RECL-TRIPSAVER-100-80T-15KV-1P-C
670740442,RECL-TRIPSAVER-200-150E-15KV-1P-C
677237110,RECL-TRIPSAVER-100-80T-29KV-1P-C
678456676,RECL-TRIPSAVER-200-100T-29KV-1P-C
677005473,RECL-TRIPSAVER-200-100T-29KV-1P-C
676417357,RECL-TRIPSAVER-200-150E-15KV-1P-C
675596952,RECL-TRIPSAVER-200-150E-29KV-1P-C
676854973,RECL-TRIPSAVER-200-100T-29KV-1P-C
671115099,RECL-TRIPSAVER-200-100T-15KV-1P-C
736764536,RECL-TRIPSAVER-200-100T-15KV-1P-C
740556571,RECL-TRIPSAVER-200-100T-15KV-1P-C
758689847,RECL-TRIPSAVER-100-80T-15KV-1P-C
771211019,RECL-TRIPSAVER-200-150E-15KV-1P-C
768076584,RECL-TRIPSAVER-100-80T-15KV-1P-C
771769316,RECL-TRIPSAVER-100-80T-15KV-1P-C
787158907,RECL-TRIPSAVER-200-100T-15KV-1P-C
565765111,RECL-TRIPSAVER-100-80T-15KV-1P-C
571907476,RECL-TRIPSAVER-100-80T-15KV-1P-C
571907585,RECL-TRIPSAVER-100-80T-15KV-1P-C
564855539,RECL-TRIPSAVER-100-80T-15KV-1P-C
655376062,RECL-TRIPSAVER-100-80T-15KV-1P-C
650687106,RECL-TRIPSAVER-100-80T-15KV-1P-C
653362263,RECL-TRIPSAVER-100-80T-15KV-1P-C
655925960,RECL-TRIPSAVER-100-80T-15KV-1P-C
657488898,RECL-TRIPSAVER-200-100T-15KV-1P-C
656557245,RECL-TRIPSAVER-100-80T-15KV-1P-C
659142302,RECL-TRIPSAVER-100-80T-15KV-1P-C
661022663,RECL-TRIPSAVER-100-80T-15KV-1P-C
660451805,RECL-TRIPSAVER-200-100T-15KV-1P-C
658764955,RECL-TRIPSAVER-100-80T-15KV-1P-C
654475408,RECL-TRIPSAVER-100-80T-15KV-1P-C
650822067,RECL-TRIPSAVER-200-150E-15KV-1P-C
658382470,RECL-TRIPSAVER-100-80T-15KV-1P-C
675261572,RECL-TRIPSAVER-100-80T-15KV-1P-C
669082523,RECL-TRIPSAVER-100-80T-15KV-1P-C
676433867,RECL-TRIPSAVER-200-100T-15KV-1P-C
671246752,RECL-TRIPSAVER-100-80T-29KV-1P-C
673518417,RECL-TRIPSAVER-200-100T-15KV-1P-C
675540765,RECL-TRIPSAVER-100-80T-15KV-1P-C
677426145,RECL-TRIPSAVER-100-80T-29KV-1P-C
672346577,RECL-TRIPSAVER-100-80T-29KV-1P-C
668602076,RECL-TRIPSAVER-100-80T-29KV-1P-C
668602090,RECL-TRIPSAVER-100-80T-29KV-1P-C
672106250,RECL-TRIPSAVER-100-80T-29KV-1P-C
669135841,RECL-TRIPSAVER-200-100T-15KV-1P-C
670569203,RECL-TRIPSAVER-200-100T-29KV-1P-C
678095797,RECL-TRIPSAVER-100-80T-15KV-1P-C
672625254,RECL-TRIPSAVER-100-80T-15KV-1P-C
670744904,RECL-TRIPSAVER-200-150E-15KV-1P-C
670744919,RECL-TRIPSAVER-100-80T-15KV-1P-C
673617202,RECL-TRIPSAVER-100-80T-15KV-1P-C
677760948,RECL-TRIPSAVER-100-80T-15KV-1P-C
679478437,RECL-TRIPSAVER-100-80T-15KV-1P-C
676597435,RECL-TRIPSAVER-100-80T-29KV-1P-C
679542824,RECL-TRIPSAVER-200-100T-15KV-1P-C
674369716,RECL-TRIPSAVER-100-80T-15KV-1P-C
676288936,RECL-TRIPSAVER-100-80T-15KV-1P-C
693318165,RECL-TRIPSAVER-200-100T-15KV-1P-C
695443868,RECL-TRIPSAVER-100-80T-15KV-1P-C
740865583,RECL-TRIPSAVER-200-100T-15KV-1P-C
744476592,RECL-TRIPSAVER-100-80T-15KV-1P-C
741458204,RECL-TRIPSAVER-200-100T-15KV-1P-C
758998995,RECL-TRIPSAVER-100-80T-29KV-1P-C
767462390,RECL-TRIPSAVER-100-80T-15KV-1P-C
780641803,RECL-TRIPSAVER-200-150E-15KV-1P-C
785621926,RECL-TRIPSAVER-100-80T-29KV-1P-C
785205294,RECL-TRIPSAVER-100-80T-15KV-1P-C
782171178,RECL-TRIPSAVER-100-80T-15KV-1P-C
564185621,RECL-TRIPSAVER-200-150E-29KV-1P-C
564203681,RECL-TRIPSAVER-200-150E-15KV-1P-C
653491699,RECL-TRIPSAVER-100-80T-15KV-1P-C
651202533,RECL-TRIPSAVER-100-80T-15KV-1P-C
657488952,RECL-TRIPSAVER-100-80T-15KV-1P-C
658807555,RECL-TRIPSAVER-200-150E-15KV-1P-C
659021939,RECL-TRIPSAVER-100-80T-15KV-1P-C
653289791,RECL-TRIPSAVER-100-80T-15KV-1P-C
650688549,RECL-TRIPSAVER-200-100T-29KV-1P-C
659043769,RECL-TRIPSAVER-100-80T-29KV-1P-C
654582616,RECL-TRIPSAVER-100-80T-15KV-1P-C
651826040,RECL-TRIPSAVER-100-80T-15KV-1P-C
661911648,RECL-TRIPSAVER-100-80T-15KV-1P-C
660374693,RECL-TRIPSAVER-200-100T-15KV-1P-C
656626412,RECL-TRIPSAVER-100-80T-29KV-1P-C
659143029,RECL-TRIPSAVER-100-80T-15KV-1P-C
651023951,RECL-TRIPSAVER-100-80T-15KV-1P-C
672882690,RECL-TRIPSAVER-100-80T-29KV-1P-C
670525382,RECL-TRIPSAVER-100-80T-15KV-1P-C
670667192,RECL-TRIPSAVER-200-100T-15KV-1P-C
673068565,RECL-TRIPSAVER-100-80T-15KV-1P-C
678868568,RECL-TRIPSAVER-200-150E-29KV-1P-C
675261747,RECL-TRIPSAVER-100-80T-15KV-1P-C
669186957,RECL-TRIPSAVER-100-80T-15KV-1P-C
671551919,RECL-TRIPSAVER-100-80T-29KV-1P-C
