type,curve,i,t
142,,0;0.167848798590029;0.307795448115974;0.429380791310483;0.54489861335298;0.669781615208537;0.777267285935049;0.937206853897131;1.07884453733266;1.17541613047474;1.27655370862431;1.41119530405319;1.53812739763985;1.67335180379682;2.08083745085034,1.55469505278602;1.25081020402598;0.951434665532013;0.694429690957083;0.334051440346892;-0.039529222465701;-0.243363891754152;-0.504455662453552;-0.761953896871205;-0.98296666070122;-1.22914798835786;-1.44369749923271;-1.55284196865778;-1.56863623584101;-1.56863623584101
151,,0;0.0783480495553571;0.236411287743966;0.371824907328892;0.520653810916627;0.674153573637664;0.818667883372954;0.978951606628726;1.13048494100094;1.29313706087768;1.3563987693968;2.09744751054462,1.69489463212116;1.38133172245789;0.903361336255319;0.617105230502378;0.324076579739486;0.0464951643347083;-0.120330794367946;-0.237321436272564;-0.30715308072277;-0.341988603342888;-0.341988603342888;-0.343901797987168
152,,0.0459485381053343;0.179235721198481;0.398929072985435;0.614127031148761;0.811286720970394;1.01079165241059;1.21268023581109;2.09943684303851,1.76201799400648;1.65639529968281;1.56598941335452;1.51805308007972;1.49267659422671;1.47162903856974;1.46182854920234;1.45577340922735
161,,0;0.0207340854115156;0.0412742250542301;0.0842902285369301;0.165748681559414;0.306103208727585;0.484684126687683;0.670218012791932;0.862179101359336;1.04997350290236;1.23516217214866;1.38442868771382;1.50630339719992;1.57187413497397;2.07551739916537,1.75755544330998;1.51426875835222;1.23261498313478;0.912912551176097;0.574841195063385;0.230448921378274;-0.193141970481183;-0.567030709125594;-0.899629454882437;-1.15490195998574;-1.35654732351381;-1.46852108295774;-1.53760200210104;-1.53760200210104;-1.53760200210104
162,,0;0.0592982924080713;0.174641192660448;0.312642724883405;0.421192468305749;0.509323516321489;0.647304711806109;0.787637556878423;0.92769365346426;1.03854466046351;1.13130421627644;1.26462423559003;1.39560243622043;1.53583822986211;1.62852175275528;2.08233828354849,1.5322828945388;1.29364977921584;0.894924977359543;0.556905269055448;0.313656346618031;0.0996806411092501;-0.181774106386044;-0.505845405981557;-0.787812395596042;-1.00436480540245;-1.18708664335714;-1.42021640338319;-1.61978875828839;-1.74472749489669;-1.76955107862173;-1.76955107862173
163,,0;0.0359097984566088;0.0778401027349936;0.131073048034346;0.17655425961329;0.257966409508177;0.353627758985543;0.446443960831865;0.566225301949698;0.685804415757079;0.818661289816565;0.95440172156225;1.07157273843058;1.20457846410952;1.34192690742968;1.4673905339254;1.63964483843058;2.09153928790328,1.76897830095112;1.51518478171752;1.16064857443616;0.808278509582768;0.53668467262093;0.290479813330673;-0.0168249279621871;-0.270025714300444;-0.507239610973163;-0.723538195826756;-0.924453038607469;-1.15490195998574;-1.36653154442041;-1.58502665202918;-1.76955107862173;-1.88605664769316;-1.92081875395238;-1.92081875395238
164,,0;0.110825310054965;0.259761066798664;0.383060976930993;0.541054778882701;0.685060660904496;0.710794099930327;0.873047264938024;1.01128702367627;1.12602095183785;1.28359518275454;1.33833495383152;1.41151701179388;1.45029068771546;1.46427786298906;1.52312318427053;2.08112758420935,1.76232588445742;1.48457029921741;1.03650912853273;0.675778341674085;0.225567713439471;-0.193141970481183;-0.265200170411153;-0.701146923590293;-0.978810700930062;-1.14874165128092;-1.34678748622466;-1.39794000867204;-1.48148606012211;-1.52287874528034;-1.55284196865778;-1.56863623584101;-1.58502665202918
165,,0;0.0694460838803129;0.18150058846776;0.291457654149245;0.373996384262326;0.461363445295965;0.566390347765812;0.685132403612498;0.787828724761575;0.892550928862524;1.02712526630597;1.1455941458581;1.24802478976935;1.35981082736817;1.4532097528526;1.54397621238009;1.67319329980505;1.78627144611362;2.09880391805841,1.95424250943932;1.7617098851236;1.47399760443486;1.12991535750442;0.846708145456007;0.520614521878236;0.244277120801843;-0.0324520237811379;-0.238824186844269;-0.434152181326482;-0.657577319177794;-0.860120913598763;-1.06550154875643;-1.2839966563652;-1.42021640338319;-1.48148606012211;-1.52287874528034;-1.52287874528034;-1.53760200210104
200,,0.0415505817176459;0.107989642267512;0.210719715681002;0.392503499681746;0.535458690265099;0.712573945982881;0.912179528674772;1.10942666913333;1.23874342661979;1.324794661785;1.48124908784217;2.09749921133929,1.75206382080335;1.4323277922616;1.11494441571258;0.860158261318278;0.732876041362707;0.610234175334389;0.500922239190301;0.407560849486363;0.356408327038981;0.316180098893453;0.287353772714746;0.28443073384452
201,,0.0847906914079053;0.176207055478685;0.519578629293983;0.626330100244653;0.758275874004725;0.908039772917383;0.992142444538742;1.12603719704454;1.27139547083123;1.40092117367736;1.47354681828943;1.57096068896637;1.67973397542421;2.09427717267685,1.75011480592398;1.38771008939861;0.768638101247614;0.618988920364934;0.431363764158987;0.263872676865224;0.165541076722373;0.0338256939533103;-0.131355561605174;-0.279014255846261;-0.337242168318426;-0.363512103646635;-0.374687549038326;-0.375717904164332
202,,0.173069663637267;0.275679830102703;0.410051397550452;0.57399652277935;0.685598442558102;0.831261720302822;0.953991511221089;1.08142652511125;1.2475534909212;1.34090196485352;1.45689112078247;1.50234380393218;1.55911627999196;1.67229555552527;1.80383388700086;1.95556942141244;2.08684440374971,1.75030006867658;1.47742515450447;1.13097669160562;0.753123244681713;0.509471352102549;0.207634367388962;-0.0315170514460649;-0.288192770958809;-0.596879478824182;-0.777283528852417;-1.00877392430751;-1.07572071393812;-1.10790539730952;-1.11918640771921;-1.11918640771921;-1.1249387366083;-1.1249387366083
