type,curve,i,t
40E_14.4kV,Melting,1.903486;1.918251;1.929107;1.947345;1.969495;1.996857;2.037247;2.066777;2.100653;2.131923;2.174484;2.221388;2.252656;2.279583;2.306509;2.330396;2.360796;2.393802;2.432455;2.471541;2.524959;2.558833;2.627017;2.692162;2.753398;2.817239;2.882383;2.944487;3.011803;3.07825;3.15121;3.217658;3.274984;3.306253;3.334916;3.359238;3.382689;3.402667;3.414393;4.266467,2.776815;1.96338;1.748404;1.52561;1.329308;1.133877;0.936705;0.827699;0.726507;0.640948;0.525434;0.412511;0.337379;0.278319;0.218378;0.165393;0.100267;0.032054;-0.047837;-0.12604;-0.234182;-0.299296;-0.434743;-0.564633;-0.685922;-0.813609;-0.943476;-1.066513;-1.200659;-1.332547;-1.476254;-1.607303;-1.723538;-1.785156;-1.844664;-1.89279;-1.939302;-1.974694;-2;-2
40E_14.4kV,Clearing,1.946044;1.960376;1.966456;1.976446;1.988171;2.00424;2.022915;2.040721;2.060263;2.081545;2.114551;2.152334;2.193158;2.229206;2.275673;2.350806;2.434625;2.536685;2.629189;2.712139;2.782061;2.907572;2.999642;3.076076;3.150775;3.209839;3.273247;3.333615;3.397455;3.446531;3.504726;3.573779;3.652821;3.790491;3.913396;4.009374;4.082771;4.217837;4.266043;4.266043,2.78333;2.084115;1.918213;1.75101;1.60856;1.446135;1.3102;1.180347;1.068731;0.963632;0.843332;0.731282;0.618801;0.516311;0.403395;0.236184;0.063784;-0.139902;-0.319755;-0.483861;-0.616364;-0.839531;-0.9914;-1.107905;-1.21254;-1.289037;-1.358526;-1.416801;-1.468521;-1.50307;-1.536107;-1.568636;-1.60206;-1.647817;-1.69037;-1.721246;-1.739929;-1.774691;-1.785156;-2
50E_14.4kV,Melting,2.00033;2.023783;2.03464;2.045499;2.057658;2.073726;2.095441;2.116724;2.128448;2.140175;2.154506;2.167536;2.178827;2.193158;2.209662;2.221821;2.237021;2.255263;2.276108;2.300428;2.344292;2.369917;2.399881;2.45634;2.517576;2.58272;2.658287;2.740803;2.825056;2.925812;3.057837;3.122114;3.17944;3.245888;3.281065;3.339694;3.396152;3.446531;3.516403;4.266467,2.779855;2.013322;1.817457;1.658939;1.517793;1.370567;1.222037;1.092184;1.032252;0.973188;0.9189;0.865915;0.821618;0.772974;0.722165;0.683947;0.638349;0.586227;0.532372;0.468967;0.36169;0.3009;0.234441;0.11284;-0.013945;-0.143815;-0.288868;-0.454817;-0.620694;-0.821311;-1.086716;-1.211832;-1.325139;-1.459671;-1.530178;-1.647817;-1.759451;-1.863279;-2;-2
50E_14.4kV,Clearing,2.044195;2.067647;2.078069;2.09023;2.102393;2.114117;2.125406;2.143649;2.161889;2.182734;2.214004;2.239627;2.266989;2.293915;2.331699;2.372087;2.42811;2.516707;2.604868;2.719088;2.812027;2.89932;2.981402;3.059575;3.15121;3.233293;3.288448;3.347946;3.394415;3.44132;3.491696;3.60418;3.72969;3.817852;3.918608;4.016758;4.102749;4.171802;4.266043;4.266043,2.782461;2.01072;1.844383;1.694551;1.549931;1.426591;1.319321;1.197283;1.091315;0.990556;0.871561;0.777753;0.694807;0.614454;0.511536;0.409899;0.283527;0.101988;-0.072168;-0.290645;-0.468266;-0.624519;-0.776245;-0.91151;-1.054531;-1.169411;-1.236572;-1.301899;-1.35164;-1.395774;-1.438899;-1.517126;-1.585027;-1.625252;-1.667562;-1.705534;-1.732828;-1.756962;-1.782516;-2
65E_14.4kV,Melting,2.112813;2.141478;2.169272;2.200541;2.219215;2.242668;2.270029;2.300863;2.326487;2.356452;2.387288;2.417254;2.45026;2.484135;2.53017;2.57664;2.629189;2.684779;2.765124;2.833742;2.893674;2.95187;3.017447;3.071735;3.125153;3.198115;3.275852;3.304951;3.340997;3.380083;3.40701;3.43741;3.460429;3.485183;3.5082;3.531653;3.555973;3.57291;3.595937;4.266467,2.779855;2.012453;1.601611;1.283708;1.155157;1.023565;0.905002;0.790785;0.706094;0.61272;0.525434;0.444654;0.361256;0.279621;0.17234;0.067666;-0.048711;-0.166407;-0.334044;-0.473015;-0.593801;-0.710634;-0.841638;-0.950782;-1.058489;-1.202732;-1.357535;-1.416801;-1.489455;-1.567031;-1.621602;-1.679854;-1.728158;-1.777284;-1.823909;-1.869666;-1.917215;-1.950782;-2;-2
65E_14.4kV,Clearing,2.158414;2.179695;2.198368;2.212268;2.224427;2.239194;2.26004;2.28132;2.303468;2.329961;2.366877;2.399881;2.438968;2.488477;2.566651;2.631361;2.70302;2.782495;2.853719;2.946224;3.051758;3.150342;3.248927;3.313637;3.381386;3.448267;3.52036;3.583768;3.642831;3.70841;3.773554;3.851727;3.938151;4.024576;4.106225;4.171367;4.226089;4.266043;4.266043,2.781158;2.06935;1.810508;1.638527;1.485655;1.339298;1.192071;1.068297;0.963197;0.855059;0.726507;0.625312;0.513271;0.38819;0.202325;0.058122;-0.099524;-0.267124;-0.412626;-0.588549;-0.774432;-0.935542;-1.080922;-1.165579;-1.241088;-1.305395;-1.368556;-1.422508;-1.464706;-1.50724;-1.548214;-1.59346;-1.638272;-1.681937;-1.721246;-1.74958;-1.772113;-1.782516;-2
80E_14.4kV,Melting,2.199239;2.233547;2.24397;2.254828;2.270462;2.287401;2.30477;2.319972;2.337779;2.359059;2.386419;2.418122;2.454603;2.495426;2.540593;2.582285;2.629624;2.67175;2.724734;2.788575;2.842862;2.907572;2.967939;3.030478;3.102135;3.17032;3.24719;3.285407;3.325362;3.364883;3.397022;3.431764;3.46868;3.499081;3.528177;3.586373;3.638922;3.681917;3.717096;4.266467,2.779855;2.01072;1.870441;1.732334;1.557748;1.39315;1.258084;1.159498;1.057004;0.947997;0.828131;0.719555;0.607509;0.494155;0.378198;0.27614;0.167583;0.078094;-0.030025;-0.157703;-0.263285;-0.391795;-0.511167;-0.633764;-0.776245;-0.909742;-1.059982;-1.138466;-1.216811;-1.295849;-1.358526;-1.429457;-1.501689;-1.563837;-1.621602;-1.737549;-1.844664;-1.928118;-2;-2
80E_14.4kV,Clearing,2.246141;2.278715;2.309115;2.324315;2.338213;2.356018;2.372956;2.39554;2.420728;2.45721;2.487175;2.520616;2.571428;2.655681;2.754266;2.866314;2.962727;3.048718;3.133839;3.212012;3.290618;3.360974;3.430895;3.490829;3.560749;3.642831;3.735336;3.836961;3.887773;3.943797;3.998518;4.045855;4.089287;4.127069;4.158338;4.18874;4.230865;4.266911;4.266911,2.781158;2.01072;1.629841;1.483483;1.360144;1.230291;1.124755;1.01097;0.894576;0.758208;0.659622;0.558433;0.427713;0.2236;0.010342;-0.219395;-0.408268;-0.569441;-0.724458;-0.858237;-0.9813;-1.077794;-1.16877;-1.236572;-1.308919;-1.381952;-1.457175;-1.531653;-1.565431;-1.603801;-1.636388;-1.665546;-1.692504;-1.716699;-1.732828;-1.74958;-1.769551;-1.782516;-2
100E_14.4kV,Melting,2.291742;2.325618;2.338213;2.349938;2.362967;2.377299;2.39554;2.414214;2.434192;2.455037;2.475449;2.504982;2.53625;2.570559;2.608343;2.656115;2.700413;2.744277;2.802907;2.863708;2.920601;2.981836;3.044375;3.105609;3.15425;3.220262;3.293659;3.367924;3.450004;3.512978;3.576819;3.642831;3.698855;3.760525;3.802651;3.820023;3.826972;4.266467,2.773341;2.055886;1.882601;1.735809;1.593794;1.472192;1.341903;1.225511;1.117374;1.011837;0.925848;0.826826;0.735192;0.636177;0.535421;0.421637;0.317834;0.216219;0.088951;-0.04436;-0.168578;-0.299296;-0.428291;-0.55424;-0.653256;-0.784362;-0.929593;-1.077794;-1.241088;-1.368556;-1.496209;-1.628932;-1.739929;-1.866461;-1.950782;-1.982967;-2;-2
100E_14.4kV,Clearing,2.333002;2.36427;2.385116;2.401619;2.418556;2.434625;2.452865;2.475014;2.498466;2.531039;2.572296;2.609212;2.645692;2.691293;2.759912;2.835045;2.939275;3.045679;3.163805;3.278024;3.374004;3.449136;3.542509;3.589413;3.621985;3.6589;3.693643;3.725782;3.760091;3.863018;3.910791;3.961603;4.016323;4.051935;4.084941;4.129674;4.170933;4.241723;4.271256;4.271256,2.783764;2.130585;1.876087;1.67631;1.51953;1.397058;1.273719;1.149512;1.029643;0.899793;0.771242;0.660496;0.56278;0.455073;0.29048;0.126326;-0.091247;-0.307947;-0.53432;-0.738261;-0.893809;-1.014125;-1.150581;-1.213249;-1.257275;-1.30103;-1.341035;-1.371611;-1.405607;-1.496209;-1.537602;-1.576754;-1.619789;-1.643974;-1.669586;-1.69897;-1.730487;-1.772113;-1.782516;-2
125E_14.4kV,Melting,2.478923;2.506284;2.515405;2.525393;2.537553;2.54841;2.56361;2.57968;2.596183;2.614424;2.634835;2.656115;2.680436;2.707362;2.73342;2.766426;2.796393;2.838085;2.878474;2.914955;2.954041;2.997036;3.034821;3.07912;3.124719;3.179006;3.235897;3.294528;3.351854;3.415261;3.48996;3.528612;3.563789;3.637185;3.708844;3.764868;3.82176;3.874744;3.936413;4.266467,2.778986;2.257398;2.125806;1.994649;1.863058;1.734506;1.5812;1.435711;1.296738;1.166012;1.038767;0.922372;0.804249;0.690028;0.590574;0.478523;0.388616;0.27614;0.171902;0.085041;-0.006167;-0.102153;-0.185087;-0.281083;-0.375305;-0.486916;-0.602929;-0.719649;-0.834756;-0.960189;-1.10902;-1.186419;-1.255707;-1.402305;-1.545155;-1.655608;-1.772113;-1.876148;-2;-2
125E_14.4kV,Clearing,2.520181;2.560136;2.57664;2.591405;2.605303;2.619635;2.632229;2.648299;2.670447;2.690425;2.70215;2.713443;2.726037;2.742974;2.759477;2.77598;2.79205;2.810724;2.829833;2.857194;2.890634;2.971413;3.061746;3.169016;3.261522;3.346642;3.434371;3.524704;3.625894;3.70233;3.771382;3.858241;3.93902;3.979844;4.027182;4.093194;4.154865;4.233471;4.269518;4.269518,2.783764;2.075864;1.866966;1.692814;1.55601;1.427893;1.318017;1.206402;1.075248;0.969714;0.915426;0.858531;0.805983;0.733454;0.665271;0.607509;0.547578;0.485906;0.426414;0.349103;0.26181;0.071145;-0.120388;-0.33059;-0.503901;-0.660151;-0.819014;-0.9694;-1.132533;-1.247952;-1.342944;-1.443697;-1.522879;-1.559091;-1.60206;-1.657577;-1.707744;-1.764472;-1.782516;-2
150E_14.4kV,Melting,2.556228;2.593143;2.604;2.615292;2.627452;2.639178;2.65351;2.669145;2.686951;2.70823;2.728208;2.75166;2.778152;2.807684;2.841559;2.874131;2.910178;2.95491;2.993996;3.038294;3.087803;3.132103;3.191166;3.238503;3.295831;3.344471;3.398757;3.446531;3.493434;3.542509;3.585939;3.630671;3.681917;3.730559;3.788754;3.858676;3.904276;3.951614;4.033697;4.266467,2.779421;2.038513;1.88651;1.743627;1.610298;1.484787;1.364052;1.247662;1.132138;1.01097;0.902395;0.793825;0.690896;0.591443;0.488945;0.396443;0.301334;0.191032;0.100681;0.000347;-0.10646;-0.201557;-0.321846;-0.417823;-0.529884;-0.625802;-0.734004;-0.829152;-0.921543;-1.020452;-1.104577;-1.194499;-1.296709;-1.392545;-1.510042;-1.649752;-1.739929;-1.835647;-2;-2
150E_14.4kV,Clearing,2.597486;2.633098;2.645258;2.666973;2.68087;2.694333;2.708665;2.725168;2.743409;2.761649;2.785536;2.81333;2.848507;2.888463;2.92668;2.980967;3.035254;3.099529;3.132103;3.168147;3.210709;3.249795;3.292356;3.327968;3.358803;3.392678;3.42525;3.461296;3.542076;3.630671;3.716661;3.806126;3.874744;3.951614;4.017626;4.081034;4.131413;4.195687;4.269952;4.269952,2.782895;2.060229;1.88955;1.629407;1.484353;1.364487;1.261558;1.157762;1.059177;0.957985;0.848109;0.734328;0.60968;0.491992;0.379505;0.243559;0.120245;-0.017006;-0.085181;-0.159455;-0.243744;-0.317945;-0.400008;-0.468649;-0.523024;-0.584693;-0.642828;-0.711974;-0.858237;-1.007889;-1.142065;-1.276544;-1.37366;-1.476254;-1.554396;-1.623423;-1.675718;-1.730487;-1.782516;-2
175E_14.4kV,Melting,2.623978;2.649601;2.671315;2.682607;2.696505;2.709968;2.7243;2.74254;2.762952;2.785536;2.805947;2.829833;2.851982;2.876737;2.902795;2.933195;2.96707;2.997036;3.027435;3.065654;3.101702;3.144696;3.187258;3.228516;3.278893;3.343604;3.394849;3.455217;3.506029;3.555538;3.592453;3.639357;3.688866;3.749234;3.852161;3.942928;3.976369;4.010677;4.066699;4.266467,2.781592;2.048069;1.734941;1.588583;1.440054;1.315412;1.205535;1.083932;0.964933;0.851582;0.760385;0.667004;0.586666;0.512404;0.436401;0.349976;0.262688;0.189294;0.117636;0.029465;-0.050903;-0.141222;-0.230697;-0.315783;-0.417823;-0.546376;-0.649364;-0.769551;-0.872247;-0.973058;-1.04624;-1.140261;-1.238072;-1.359519;-1.568636;-1.74958;-1.818156;-1.886057;-2;-2
175E_14.4kV,Clearing,2.667407;2.690425;2.701282;2.713443;2.726906;2.741237;2.755568;2.775112;2.792918;2.817673;2.845902;2.87804;2.913652;2.956647;3.00659;3.071735;3.165108;3.25327;3.363145;3.472154;3.570305;3.655426;3.744022;3.841304;3.920779;4.00069;4.069309;4.101445;4.123162;4.152258;4.171802;4.196991;4.224352;4.246499;4.266479;4.266479,2.782895;2.079337;1.891287;1.728861;1.569475;1.417905;1.292827;1.150815;1.03833;0.916728;0.788614;0.663098;0.545406;0.416857;0.284386;0.125871;-0.075617;-0.247644;-0.453457;-0.656788;-0.837436;-0.98843;-1.133713;-1.28567;-1.400117;-1.508638;-1.59176;-1.627088;-1.653647;-1.681937;-1.701147;-1.725842;-1.747147;-1.767004;-1.782516;-2
200E_14.4kV,Melting,2.687384;2.713443;2.7243;2.736894;2.75166;2.772072;2.795958;2.813764;2.838085;2.863708;2.8902;2.916692;2.94579;2.97619;3.010499;3.045245;3.08346;3.123417;3.144263;3.184652;3.226345;3.27455;3.319716;3.367488;3.418735;3.466507;3.5234;3.571608;3.627197;3.664546;3.70841;3.760525;3.814377;3.859544;3.958563;4.005901;4.044552;4.083639;4.134177;4.266467,2.781592;2.06761;1.899539;1.724952;1.571211;1.420076;1.257215;1.134311;0.996639;0.866783;0.749087;0.647901;0.547578;0.450726;0.354742;0.259211;0.161488;0.065057;0.01515;-0.075617;-0.169475;-0.270673;-0.364919;-0.464326;-0.568154;-0.664943;-0.778325;-0.868702;-0.979639;-1.055024;-1.142065;-1.244888;-1.353596;-1.444906;-1.645892;-1.739929;-1.818156;-1.899629;-2;-2
200E_14.4kV,Clearing,2.729511;2.758174;2.775546;2.790313;2.81029;2.831136;2.848942;2.871091;2.892371;2.921903;2.953172;2.992693;3.035254;3.08129;3.133405;3.210276;3.28671;3.3879;3.473891;3.572475;3.670626;3.754445;3.827406;3.896893;3.966814;4.043684;4.102314;4.158338;4.185264;4.211756;4.233037;4.250408;4.264305;4.264305,2.78029;2.068913;1.829617;1.625498;1.449174;1.29804;1.156025;1.021826;0.916296;0.795122;0.681775;0.550179;0.422064;0.297432;0.162803;-0.012244;-0.179405;-0.387428;-0.553308;-0.734475;-0.892451;-1.023192;-1.129011;-1.225483;-1.313364;-1.402305;-1.463442;-1.517126;-1.542118;-1.562249;-1.578396;-1.59176;-1.598599;-2
