Circuit,Upstream_Equipment_Number,Upstream_Equipment_ID,Upstream_Device_Type,Downstream_Equipment_Number,Downstream_Equipment_ID,Downstream_Device_Type,Check_Type,Phase_Fault_Current_A,Phase_Upstream_Time_s,Phase_Downstream_Time_s,Phase_Margin_s,Phase_Required_Margin_s,Phase_Violation,Ground_Fault_Current_A,Ground_Upstream_Time_s,Ground_Downstream_Time_s,Ground_Margin_s,Ground_Required_Margin_s,Ground_Violation,Upstream_Phase_Pickup_A,Upstream_Phase_Curve,Upstream_Phase_TD,Upstream_Ground_Pickup_A,Upstream_Ground_Curve,Upstream_Ground_TD,Downstream_Phase_Pickup_A,Downstream_Phase_Curve,Downstream_Phase_TD,Downstream_Ground_Pickup_A,Downstream_Ground_Curve,Downstream_Ground_TD,Upstream_Total_Customers,Downstream_Total_Customers,Customers_Erroneously_Disconnected,Upstream_Device_Downstream_A_PH_cKVA,Upstream_Device_Downstream_B_PH_cKVA,Upstream_Device_Downstream_C_PH_cKVA,Upstream_Device_Total_Downstream_3PH_cKVA,Downstream_Device_Downstream_A_PH_cKVA,Downstream_Device_Downstream_B_PH_cKVA,Downstream_Device_Downstream_C_PH_cKVA,Downstream_Device_Total_Downstream_3PH_cKVA,Notes
67271201,67271201,DEFAULT_BREAKER,Breaker,1LCK68_39010960,VPST_800A,Recloser,Breaker-Recloser,3579.0,0.0200,0.2299,-0.2099,0.2,True,3316.0,0.0137,0.1703,-0.1566,0.2,True,750.0000,104,1.0000,450.0000,104,1.0000,560.0000,U4,1.0000,300.0000,U4,1.5000,543,388,155,2684.0,3037.0,3182.0,3120.0,1108.0,2430.0,2438.0,1670.0,
67271201,67271201,DEFAULT_BREAKER,Breaker,1XQD27_655793590,TRIPSAVER_II_100A,TripSaver,Breaker-TripSaver,3674.0,0.0195,0.0880,-0.0686,0.2,True,3470.0,0.0133,0.0931,-0.0798,0.2,True,750.0000,104,1.0000,450.0000,104,1.0000,,TS80T,,,TS80T,,543,24,519,2684.0,3037.0,3182.0,3120.0,85.0,65.0,150.0,125.0,
67271201,67271201,DEFAULT_BREAKER,Breaker,1XQK17_655793576,TRIPSAVER_II_200A,TripSaver,Breaker-TripSaver,3377.0,0.0222,0.1684,-0.1462,0.2,True,3003.0,0.0148,0.1927,-0.1779,0.2,True,750.0000,104,1.0000,450.0000,104,1.0000,,TS150E,,,TS150E,,543,76,467,2684.0,3037.0,3182.0,3120.0,859.0,392.0,382.0,950.0,
67271201,67271201,DEFAULT_BREAKER,Breaker,1TEN99_655793574,TRIPSAVER_II_100A,TripSaver,Breaker-TripSaver,,,,,0.2,False,4049.0,0.0119,0.0807,-0.0688,0.2,True,,,,450.0000,104,1.0000,,,,,TS80T,,543,26,517,2684.0,3037.0,3182.0,3120.0,362.0,0.0,0.0,0,
67271203,67271203,DEFAULT_BREAKER,Breaker,38920972,K_80A,Fuse,Breaker-Fuse,,,,,0.0,False,4048.0,0.0157,0.0248,-0.0090,0.0,True,,,,450.0000,102,1.0000,,,,,80K,,601,1,600,6538.0,5482.0,5915.0,11116.0,0.0,0.0,15.0,0,
67271203,67271203,DEFAULT_BREAKER,Breaker,38934962,K_80A,Fuse,Breaker-Fuse,,,,,0.0,False,3287.0,0.0158,0.0317,-0.0159,0.0,True,,,,450.0000,102,1.0000,,,,,80K,,601,5,596,6538.0,5482.0,5915.0,11116.0,0.0,0.0,75.0,0,
67271203,67271203,DEFAULT_BREAKER,Breaker,38924712,K_30A,Fuse,Breaker-Fuse,2936.0,0.0110,0.0152,-0.0042,0.0,True,2383.0,0.0159,0.0173,-0.0014,0.0,True,750.0000,121,1.0000,450.0000,102,1.0000,,30K,,,30K,,601,1,600,6538.0,5482.0,5915.0,11116.0,100.0,100.0,100.0,300.0,
67271203,1XMK70_650937711,K_65A,Fuse,1X5X48_660619417,K_65A,Fuse,Fuse-Fuse,,,,,0.0,False,2205.0,0.0171,0.0375,-0.0204,0.0,True,,,,,65K,,,,,,65K,,8,2,6,225.0,0.0,0.0,0,75.0,0.0,0.0,0,
67271203,67271203,DEFAULT_BREAKER,Breaker,243R91_671247155,T_80A,Fuse,Breaker-Fuse,2866.0,0.0110,0.0948,-0.0838,0.0,True,2306.0,0.0159,0.1393,-0.1234,0.0,True,750.0000,121,1.0000,450.0000,102,1.0000,,80T,,,80T,,601,3,598,6538.0,5482.0,5915.0,11116.0,392.0,267.0,292.0,800.0,
67271203,67271203,DEFAULT_BREAKER,Breaker,38924728,K_50A,Fuse,Breaker-Fuse,3016.0,0.0110,0.0201,-0.0091,0.0,True,2475.0,0.0159,0.0238,-0.0079,0.0,True,750.0000,121,1.0000,450.0000,102,1.0000,,50K,,,50K,,601,1,600,6538.0,5482.0,5915.0,11116.0,167.0,167.0,167.0,500.0,
