Circuit,Upstream_Equipment_Number,Upstream_Equipment_ID,Downstream_Equipment_Number,Downstream_Equipment_ID,Check_Type,Phase_Note,Ground_Note
67421202,38899339,K_25A,38899343,K_25A,Fuse-Fuse,"Phase upstream: i=2938.0 (log10=3.4681) is outside the data range [10^1.6981, 10^3.0549].; Phase downstream: i=2938.0 (log10=3.4681) is outside the data range [10^1.7717, 10^3.4144].","Ground upstream: i=2528.0 (log10=3.4028) is outside the data range [10^1.6981, 10^3.0549]."
67421202,38899347,SMU-20_(E)_100A,38899339,K_25A,Fuse-Fuse,"Phase downstream: i=2947.0 (log10=3.4694) is outside the data range [10^1.7717, 10^3.4144].",
67421202,38899339,K_25A,38936644,T_50A,Fuse-Fuse,,"Ground upstream: i=2410.0 (log10=3.3820) is outside the data range [10^1.6981, 10^3.0549]."
67421202,38899339,K_25A,38926169,T_50A,Fuse-Fuse,,"Ground upstream: i=2400.0 (log10=3.3802) is outside the data range [10^1.6981, 10^3.0549]."
67421202,A17C17_38929847,K_65A,38921063,K_25A,Fuse-Fuse,"Phase upstream: i=3082.0 (log10=3.4888) is outside the data range [10^2.0960, 10^3.4551].; Phase downstream: i=3082.0 (log10=3.4888) is outside the data range [10^1.7717, 10^3.4144].","Ground downstream: i=2785.0 (log10=3.4448) is outside the data range [10^1.7717, 10^3.4144]."
67421202,38899343,K_25A,38899361,SMU-20_(E)_65A,Fuse-Fuse,,"Ground upstream: i=2316.0 (log10=3.3647) is outside the data range [10^1.6981, 10^3.0549]."
67421202,38899343,K_25A,38899363,SMU-20_(E)_65A,Fuse-Fuse,,"Ground upstream: i=2316.0 (log10=3.3647) is outside the data range [10^1.6981, 10^3.0549]."
67421202,A17C17_38929847,K_65A,38917964,K_25A,Fuse-Fuse,,"Ground downstream: i=2732.0 (log10=3.4365) is outside the data range [10^1.7717, 10^3.4144]."
67421202,AL7_38926271,T_25A,2EDG44_785639296,K_20A,Fuse-Fuse,,"Ground upstream: i=2123.0 (log10=3.3269) is outside the data range [10^1.7089, 10^3.3155]."
67421202,2EDG44_785639296,K_20A,1G4M19_659017365,K_20A,Fuse-Fuse,,"Ground upstream: i=2049.0 (log10=3.3115) is outside the data range [10^1.5919, 10^2.9356]."
67421203,757384311,K_25A,7FH5_38936421,T_50A,Fuse-Fuse,,"Ground upstream: i=1199.0 (log10=3.0788) is outside the data range [10^1.6981, 10^3.0549]."
67421204,2BEJ82_38929488,K_25A,2BEJ92_38932863,K_25A,Fuse-Fuse,,"Ground upstream: i=1620.0 (log10=3.2095) is outside the data range [10^1.6981, 10^3.0549]."
67421204,2BEJ82_38929488,K_25A,2BEK11_38929919,K_25A,Fuse-Fuse,,"Ground upstream: i=1268.0 (log10=3.1031) is outside the data range [10^1.6981, 10^3.0549]."
67421204,2BEJ82_38929488,K_25A,2BEK23_38915664,T_65A,Fuse-Fuse,,"Ground upstream: i=1188.0 (log10=3.0748) is outside the data range [10^1.6981, 10^3.0549]."
67421204,2BEJ82_38929488,K_25A,2C5P55_38952006,T_65A,Fuse-Fuse,,"Ground upstream: i=1244.0 (log10=3.0948) is outside the data range [10^1.6981, 10^3.0549]."
67421204,2BEJ82_38929488,K_25A,2BEJ85_38930951,K_25A,Fuse-Fuse,,"Ground upstream: i=1722.0 (log10=3.2360) is outside the data range [10^1.6981, 10^3.0549]."
67421204,2BAP32_38932097,T_40A,38925938,K_25A,Fuse-Fuse,,"Ground downstream: i=2873.0 (log10=3.4583) is outside the data range [10^1.7717, 10^3.4144]."
67421204,2BEJ82_38929488,K_25A,2BEJ95_38926964,T_65A,Fuse-Fuse,,"Ground upstream: i=1543.0 (log10=3.1884) is outside the data range [10^1.6981, 10^3.0549]."
67421204,2BEJ82_38929488,K_25A,2BEJ96_38934035,T_65A,Fuse-Fuse,,"Ground upstream: i=1510.0 (log10=3.1790) is outside the data range [10^1.6981, 10^3.0549]."
67421204,2BEJ82_38929488,K_25A,2BEK10_38931309,T_65A,Fuse-Fuse,,"Ground upstream: i=1288.0 (log10=3.1099) is outside the data range [10^1.6981, 10^3.0549]."
67421204,2BEJ82_38929488,K_25A,2PWF30_830390906,K_20A,Fuse-Fuse,,"Ground upstream: i=1716.0 (log10=3.2345) is outside the data range [10^1.6981, 10^3.0549]."
67421204,2BEJ82_38929488,K_25A,2BEK23_38920126,T_65A,Fuse-Fuse,,"Ground upstream: i=1188.0 (log10=3.0748) is outside the data range [10^1.6981, 10^3.0549]."
67421204,2BEJ82_38929488,K_25A,2BGW21_38952008,T_65A,Fuse-Fuse,,"Ground upstream: i=1245.0 (log10=3.0952) is outside the data range [10^1.6981, 10^3.0549]."
67421204,2B2M64_367189272,T_65A,259H90_713027296,UNK_UNKA,Fuse-Fuse,,Ground downstream: Cannot determine fuse curve type for 'UNK_UNKA'
67421204,2BEJ82_38929488,K_25A,2BEJ84_38921643,T_65A,Fuse-Fuse,,"Ground upstream: i=1750.0 (log10=3.2430) is outside the data range [10^1.6981, 10^3.0549]."
67421204,2BEJ82_38929488,K_25A,2BEJ87_38916497,K_25A,Fuse-Fuse,,"Ground upstream: i=1675.0 (log10=3.2240) is outside the data range [10^1.6981, 10^3.0549]."
67431201,2PYA54_859573268,VPST_800A,38932242,T_65A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,2PYA54_859573268,VPST_800A,38924969,T_40A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,2PYA54_859573268,VPST_800A,5JK12_38919942,T_40A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,2PYA54_859573268,VPST_800A,38942576,T_40A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,2PYA54_859573268,VPST_800A,5JK7_38929380,T_40A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,2PYA54_859573268,VPST_800A,5J2.5_38925620,T_50A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,67431201,DEFAULT_BREAKER,20PP54_763563426,K_25A,Breaker-Fuse,"Phase downstream: i=3130.0 (log10=3.4955) is outside the data range [10^1.7717, 10^3.4144].","Ground downstream: i=2865.0 (log10=3.4571) is outside the data range [10^1.7717, 10^3.4144]."
67431201,2PYA54_859573268,VPST_800A,38932099,K_25A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,2PYA54_859573268,VPST_800A,38927268,T_50A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,2PYA54_859573268,VPST_800A,38933161,K_25A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,2PYA54_859573268,VPST_800A,38929736,K_25A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,2PYA54_859573268,VPST_800A,38944677,K_50A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,2PYA54_859573268,VPST_800A,5JK12_38928861,T_40A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,20PP57_763563473,K_80A,1YYK59_696766002,K_20A,Fuse-Fuse,,"Ground downstream: i=2580.0 (log10=3.4116) is outside the data range [10^1.6881, 10^3.3354]."
67431201,2PYA54_859573268,VPST_800A,84356241,T_50A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,2PYA54_859573268,VPST_800A,5JN14-1_39086074,T_65A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,2PYA54_859573268,VPST_800A,2LDT75_38927794,T_65A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,2PYA54_859573268,VPST_800A,38925364,T_40A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,2PYA54_859573268,VPST_800A,2LDT75_38933019,T_65A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,2PYA54_859573268,VPST_800A,38924117,T_50A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,2PYA54_859573268,VPST_800A,5J3_38919090,T_50A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,2PYA54_859573268,VPST_800A,38925732,K_30A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,2PYA54_859573268,VPST_800A,38933586,T_40A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,2PYA54_859573268,VPST_800A,5J5_38935910,T_50A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,2PYA54_859573268,VPST_800A,38917762,K_25A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,2PYA54_859573268,VPST_800A,5JK12-1_39086114,T_40A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,2PYA54_859573268,VPST_800A,38925842,K_50A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,2PYA54_859573268,VPST_800A,38930713,T_40A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,2PYA54_859573268,VPST_800A,38931515,T_40A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,2PYA54_859573268,VPST_800A,2BBF62_38920199,T_40A,Recloser-Fuse,,Ground upstream: FID 859573268 not in RecloserDatabase
67431201,4J2_39010607,L_200A,2PYA54_859573268,VPST_800A,Recloser-Recloser,Phase downstream: FID 859573268 not in RecloserDatabase,Ground downstream: FID 859573268 not in RecloserDatabase
67431202,275Y36_737250174,K_65A,173329741,K_20A,Fuse-Fuse,"Phase upstream: i=3612.0 (log10=3.5577) is outside the data range [10^2.0960, 10^3.4551].; Phase downstream: i=3612.0 (log10=3.5577) is outside the data range [10^1.6881, 10^3.3354].","Ground upstream: i=3522.0 (log10=3.5468) is outside the data range [10^2.0960, 10^3.4551].; Ground downstream: i=3522.0 (log10=3.5468) is outside the data range [10^1.6881, 10^3.3354]."
67431202,275Y36_737250174,K_65A,652555291,UNK_UNKA,Fuse-Fuse,"Phase upstream: i=3243.0 (log10=3.5109) is outside the data range [10^2.0960, 10^3.4551].; Phase downstream: Cannot determine fuse curve type for 'UNK_UNKA'","Ground upstream: i=2940.0 (log10=3.4683) is outside the data range [10^2.0960, 10^3.4551].; Ground downstream: Cannot determine fuse curve type for 'UNK_UNKA'"
67431202,275Y36_737250174,K_65A,38934147,K_80A,Fuse-Fuse,,"Ground upstream: i=3627.0 (log10=3.5595) is outside the data range [10^2.0960, 10^3.4551]."
67431202,275Y36_737250174,K_65A,38916787,T_80A,Fuse-Fuse,"Phase upstream: i=3479.0 (log10=3.5415) is outside the data range [10^2.0960, 10^3.4551].","Ground upstream: i=3301.0 (log10=3.5186) is outside the data range [10^2.0960, 10^3.4551]."
67431202,51141892,K_80A,38931773,K_25A,Fuse-Fuse,"Phase downstream: i=2665.0 (log10=3.4257) is outside the data range [10^1.7717, 10^3.4144].",
67431202,275Y36_737250174,K_65A,38929440,K_80A,Fuse-Fuse,,"Ground upstream: i=3324.0 (log10=3.5217) is outside the data range [10^2.0960, 10^3.4551]."
